customer_id,place_id,timestamp_in,timestamp_out,
3,26,2021-05-17 09:30:00,2021-05-17 11:45:00,reception
3,13,2021-05-17 11:45:00,2021-05-17 11:47:05,elevator
3,8,2021-05-17 11:47:05,2021-05-17 11:48:57,corridor
3,94,2021-05-17 11:48:57,2021-05-17 11:48:57,room
3,8,2021-05-17 11:48:57,2021-05-17 11:50:57,corridor
3,13,2021-05-17 11:50:57,2021-05-17 11:55:43,elevator
3,26,2021-05-17 11:55:43,2021-05-17 11:58:47,reception
3,13,2021-05-17 11:58:47,2021-05-17 12:00:04,elevator
3,8,2021-05-17 12:00:04,2021-05-17 12:02:51,corridor
3,94,2021-05-17 12:02:51,2021-05-17 13:04:23,room
3,8,2021-05-17 13:04:23,2021-05-17 13:05:24,corridor
3,13,2021-05-17 13:05:24,2021-05-17 13:06:26,elevator
3,18,2021-05-17 13:06:26,2021-05-17 14:03:01,restaurant3
3,13,2021-05-17 14:03:01,2021-05-17 14:04:21,elevator
3,8,2021-05-17 14:04:21,2021-05-17 14:05:53,corridor
3,94,2021-05-17 14:05:53,2021-05-17 18:05:03,room
3,8,2021-05-17 18:05:03,2021-05-17 18:07:08,corridor
3,14,2021-05-17 18:07:08,2021-05-17 18:09:03,elevator
3,51,2021-05-17 18:09:03,2021-05-17 20:19:03,hair salon
3,14,2021-05-17 20:19:03,2021-05-17 20:20:05,elevator
3,8,2021-05-17 20:20:05,2021-05-17 20:29:15,corridor
3,94,2021-05-17 20:29:15,2021-05-17 11:48:57,room
3,8,2021-05-18 11:48:57,2021-05-18 11:50:57,corridor
3,14,2021-05-18 11:50:57,2021-05-18 11:55:43,elevator
3,26,2021-05-18 11:55:43,2021-05-18 11:58:47,reception
3,14,2021-05-18 11:58:47,2021-05-18 12:00:04,elevator
3,8,2021-05-18 12:00:04,2021-05-18 12:02:51,corridor
3,94,2021-05-18 12:02:51,2021-05-18 13:04:23,room
3,8,2021-05-18 13:04:23,2021-05-18 13:05:24,corridor
3,13,2021-05-18 13:05:24,2021-05-18 13:06:26,elevator
3,18,2021-05-18 13:06:26,2021-05-18 14:03:01,restaurant
3,13,2021-05-18 14:03:01,2021-05-18 14:04:21,elevator
3,8,2021-05-18 14:04:21,2021-05-18 14:05:53,corridor
3,94,2021-05-18 14:05:53,2021-05-18 18:05:03,room
3,8,2021-05-18 18:05:03,2021-05-18 18:07:08,corridor
3,14,2021-05-18 18:07:08,2021-05-18 18:09:03,elevator
3,23,2021-05-18 18:09:03,2021-05-18 20:19:03,bar
3,14,2021-05-18 20:19:03,2021-05-18 20:20:05,elevator
3,8,2021-05-18 20:20:05,2021-05-18 20:29:15,corridor
3,94,2021-05-18 20:29:15,2021-05-18 11:48:57,room
3,8,2021-05-19 11:48:57,2021-05-19 11:50:57,corridor
3,13,2021-05-19 11:50:57,2021-05-19 11:55:43,elevator
3,26,2021-05-19 11:55:43,2021-05-19 11:58:47,reception
3,13,2021-05-19 11:58:47,2021-05-19 12:00:04,elevator
3,8,2021-05-19 12:00:04,2021-05-19 12:02:51,corridor
3,94,2021-05-19 12:02:51,2021-05-19 13:04:23,room
3,8,2021-05-19 13:04:23,2021-05-19 13:05:24,corridor
3,14,2021-05-19 13:05:24,2021-05-19 13:06:26,elevator
3,18,2021-05-19 13:06:26,2021-05-19 14:03:01,restaurant
3,14,2021-05-19 14:03:01,2021-05-19 14:04:21,elevator
3,8,2021-05-19 14:04:21,2021-05-19 14:05:53,corridor
3,94,2021-05-19 14:05:53,2021-05-19 18:05:03,room
3,8,2021-05-19 18:05:03,2021-05-19 18:07:08,corridor
3,13,2021-05-19 18:07:08,2021-05-19 18:09:03,elevator
3,23,2021-05-19 18:09:03,2021-05-19 20:19:03,bar
3,13,2021-05-19 20:19:03,2021-05-19 20:20:05,elevator
3,8,2021-05-19 20:20:05,2021-05-19 20:29:15,corridor
3,94,2021-05-19 20:29:15,2021-05-19 11:48:57,room
3,8,2021-05-20 11:48:57,2021-05-20 11:50:57,corridor
3,14,2021-05-20 11:50:57,2021-05-20 11:55:43,elevator
3,26,2021-05-20 11:55:43,2021-05-20 11:58:47,reception
3,14,2021-05-20 11:58:47,2021-05-20 12:00:04,elevator
3,8,2021-05-20 12:00:04,2021-05-20 12:02:51,corridor
3,94,2021-05-20 12:02:51,2021-05-20 13:04:23,room
3,8,2021-05-20 13:04:23,2021-05-20 13:05:24,corridor
3,13,2021-05-20 13:05:24,2021-05-20 13:06:26,elevator
3,18,2021-05-20 13:06:26,2021-05-20 14:03:01,restaurant
3,13,2021-05-20 14:03:01,2021-05-20 14:04:21,elevator
3,8,2021-05-20 14:04:21,2021-05-20 14:05:53,corridor
3,94,2021-05-20 14:05:53,2021-05-20 18:05:03,room
3,8,2021-05-20 18:05:03,2021-05-20 18:07:08,corridor
3,14,2021-05-20 18:07:08,2021-05-20 18:09:03,elevator
3,23,2021-05-20 18:09:03,2021-05-20 20:19:03,bar
3,14,2021-05-20 20:19:03,2021-05-20 20:20:05,elevator
3,8,2021-05-20 20:20:05,2021-05-20 20:29:15,corridor
3,94,2021-05-20 20:29:15,2021-05-20 11:48:57,room
3,8,2021-05-21 11:48:57,2021-05-21 11:50:57,corridor
3,13,2021-05-21 11:50:57,2021-05-21 11:55:43,elevator
3,26,2021-05-21 11:55:43,2021-05-21 11:58:47,reception
3,13,2021-05-21 11:58:47,2021-05-21 12:00:04,elevator
3,8,2021-05-21 12:00:04,2021-05-21 12:02:51,corridor
3,94,2021-05-21 12:02:51,2021-05-21 13:04:23,room
3,8,2021-05-21 13:04:23,2021-05-21 13:05:24,corridor
3,14,2021-05-21 13:05:24,2021-05-21 13:06:26,elevator
3,18,2021-05-21 13:06:26,2021-05-21 14:03:01,restaurant
3,14,2021-05-21 14:03:01,2021-05-21 14:04:21,elevator
3,8,2021-05-21 14:04:21,2021-05-21 14:05:53,corridor
3,94,2021-05-21 14:05:53,2021-05-21 18:05:03,room
3,8,2021-05-21 18:05:03,2021-05-21 18:07:08,corridor
3,13,2021-05-21 18:07:08,2021-05-21 18:09:03,elevator
3,23,2021-05-21 18:09:03,2021-05-21 20:19:03,bar
3,13,2021-05-21 20:19:03,2021-05-21 20:20:05,elevator
3,8,2021-05-21 20:20:05,2021-05-21 20:29:15,corridor
3,94,2021-05-21 20:29:15,2021-05-21 11:48:57,room
3,8,2021-05-22 11:48:57,2021-05-22 11:50:57,corridor
3,14,2021-05-22 11:50:57,2021-05-22 11:55:43,elevator
3,26,2021-05-22 11:55:43,2021-05-22 11:58:47,reception
3,14,2021-05-22 11:58:47,2021-05-22 12:00:04,elevator
3,8,2021-05-22 12:00:04,2021-05-22 12:02:51,corridor
3,94,2021-05-22 12:02:51,2021-05-22 13:04:23,room
3,8,2021-05-22 13:04:23,2021-05-22 13:05:24,corridor
3,13,2021-05-22 13:05:24,2021-05-22 13:06:26,elevator
3,18,2021-05-22 13:06:26,2021-05-22 14:03:01,restaurant
3,13,2021-05-22 14:03:01,2021-05-22 14:04:21,elevator
3,8,2021-05-22 14:04:21,2021-05-22 14:05:53,corridor
3,94,2021-05-22 14:05:53,2021-05-22 18:05:03,room
3,8,2021-05-22 18:05:03,2021-05-22 18:07:08,corridor
3,14,2021-05-22 18:07:08,2021-05-22 18:09:03,elevator
3,23,2021-05-22 18:09:03,2021-05-22 20:19:03,bar
3,14,2021-05-22 20:19:03,2021-05-22 20:20:05,elevator
3,8,2021-05-22 20:20:05,2021-05-22 20:29:15,corridor
3,94,2021-05-22 20:29:15,2021-05-22 11:48:57,room
